time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.0,0.0006015740134566731,-0.002705561384281924,-0.0013965600725068508,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,0.09889698451655302,-0.0047668536144487295,-0.13910115955639832,0.15236620114356145,-0.6852624961557494,-0.35371965569781244,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,0.0002493961352657005,-0.0026142814009661834,-0.0016539855072463768,-0.0027375855959776763,0.015007250109688572,-0.004900642470337432,0.0,0.0,0.0,0.0,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,-0.13910115955639832,0.0,0.01
0.01,0.0006015740134566731,-0.002705561384281924,-0.0013965600725068508,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,0.09889698451655302,-0.0047668536144487295,-0.13910115955639832,0.15236620114356145,-0.6852624961557494,-0.35371965569781244,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,0.0002493961352657005,-0.0026142814009661834,-0.0016539855072463768,-0.0027375855959776763,0.015007250109688572,-0.004900642470337432,0.0,0.0,0.0,0.0,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,-0.13910115955639832,0.0,2479.0
0.02,0.0006015740134566731,-0.002705561384281924,-0.0013965600725068508,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,0.09889698451655302,-0.0047668536144487295,-0.13910115955639832,0.15236620114356145,-0.6852624961557494,-0.35371965569781244,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,0.0002493961352657005,-0.0026142814009661834,-0.0016539855072463768,-0.0027375855959776763,0.015007250109688572,-0.004900642470337432,0.0,0.0,0.0,0.0,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,-0.13910115955639832,0.0,0.0
0.03,0.0006015740134566731,-0.002705561384281924,-0.0013965600725068508,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,0.09889698451655302,-0.0047668536144487295,-0.13910115955639832,0.15236620114356145,-0.6852624961557494,-0.35371965569781244,-0.0027609461527803836,0.014450056241990243,-0.006358394558733153,0.0002493961352657005,-0.0026142814009661834,-0.0016539855072463768,-0.0027375855959776763,0.015007250109688572,-0.004900642470337432,0.0,0.0,0.0,0.0,-3.1641457080841064,0.21896091103553772,-1.4014747142791748,-0.13910115955639832,0.0,0.0
0.04,2.405668287653778e-05,-0.00043602060680897624,-0.00030790015260172277,-0.0002957093953610217,0.0010270151730922426,-0.0013949808419557383,-3.1641223430633545,0.21757425367832184,-1.4026535749435425,0.09748928805477604,-0.000626066993284935,-0.14430310182740247,-0.015121785745991096,0.0594259385155782,0.02850560699627155,-0.0002957093953610217,0.0010270151730922426,-0.0013949808419557383,-3.40707815815771e-05,-0.0004032727980000932,-0.000348863053017729,-0.00029490277519113816,0.0011579189489847094,-0.0012883928257342455,0.0,0.0,0.0,0.0,-3.1641223430633545,0.21757425367832184,-1.4026535749435425,-0.14430310182740247,0.0,0.0
0.05,0.0002995462699502385,-0.0015571994956824996,-0.0010131994828040214,-0.0030527471446095645,0.0025273226921021367,-0.006206477103123385,-3.1640372276306152,0.21662046015262604,-1.4033915996551514,0.09540656712651426,0.0013948918818189604,-0.1482995588306606,0.04140788665191082,-0.16852051955985575,-0.10601110201988252,-0.0030527471446095645,0.0025273226921021367,-0.006206477103123385,7.988328794059546e-05,-0.001481664821717172,-0.0011573501827635794,-0.0030610293121821103,0.0031070698148474105,-0.005937499792132461,0.0,0.0,0.0,0.0,-3.1640372276306152,0.21662046015262604,-1.4033915996551514,-0.1482995588306606,0.0,0.0
0.06,0.0002648460046924869,-0.0008000720093960035,-0.000693814403322638,-0.0015678419161552573,0.0020063579610175145,-0.0027784766147604663,-3.1638052463531494,0.2156449258327484,-1.4041765928268433,0.0954756996886584,0.0036714393994716765,-0.15235172839638625,0.024093175819517743,-0.020135002329773898,-0.04989032572592861,-0.0015678419161552573,0.0020063579610175145,-0.0027784766147604663,0.00014816292253154226,-0.0007615936512773617,-0.0007678931640530525,-0.0015772942810836762,0.0022620944734774153,-0.0025745722958920416,0.0,0.0,0.0,0.0,-3.1638052463531494,0.2156449258327484,-1.4041765928268433,-0.15235172839638625,0.0,0.0
0.07,0.00016609159534826086,-0.000689288989177575,-0.0004238240706753252,-0.0012178231214875325,0.0012461246258040324,-0.002334131085803637,-3.1636719703674316,0.21517564356327057,-1.404499888420105,0.09446721389896545,0.004894307022900168,-0.15417131439285683,-0.011902471670405881,0.01335223174811022,0.03254084862597571,-0.0012178231214875325,0.0012461246258040324,-0.002334131085803637,6.252752154514734e-05,-0.0006637117025927837,-0.00048775983477669177,-0.001228620934669205,0.0014607395670747402,-0.002206207383430196,0.0,0.0,0.0,0.0,-3.1636719703674316,0.21517564356327057,-1.404499888420105,-0.15417131439285683,0.0,0.0
0.08,0.00018206153732911484,-0.0012313474506213892,-0.0008717272535030991,0.0024113129057324293,0.0007013207808475633,-0.005394525253350804,-3.163621187210083,0.21467000246047974,-1.4049235582351685,0.09563347829541197,0.005496070572564404,-0.15671634095163783,0.0033069756371297836,-0.11224675255826393,-0.09274954881990934,0.0024113129057324293,0.0007013207808475633,-0.005394525253350804,-3.834882575449502e-06,-0.0011560503849205495,-0.000986308345917834,0.002382167455837826,0.0012132273622005516,-0.0053029880606640665,0.0,0.0,0.0,0.0,-3.163621187210083,0.21467000246047974,-1.4049235582351685,-0.15671634095163783,0.0,0.0
0.09,0.0004910004221398914,-0.0014158586236295131,-0.0011628337714298146,0.0027589788236631325,0.0028041177669424692,-0.00544635997605989,-3.1633403301239014,0.21361592411994934,-1.4056986570358276,0.09804114278374851,0.007502863461540166,-0.16120307971060513,0.10989392959873319,-0.20478416126169474,-0.213173836020327,0.0027589788236631325,0.0028041177669424692,-0.00544635997605989,0.00026713158353966433,-0.0013556892288255407,-0.0012994871559762716,0.002720370413217533,0.0033237642218471052,-0.005145871689678605,0.0,0.0,0.0,0.0,-3.1633403301239014,0.21361592411994934,-1.4056986570358276,-0.16120307971060513,0.0,0.0
