time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.01
0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,1737.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.09,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,0.558842405591069,-1.05070950482801,-0.5351738764804637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-3.7048118114471436,0.9307731986045837,0.6131673455238342,-0.5351738764804637,0.0,0.0
