Count,x,y,z,w,phi,theta,mocap_psi,psi
1,-0.00247428147122264,-0.0629404187202454,0.00135417736601084,-0.998013377189636,0.00480636925749432,0.125970338039041,0.00241061273536191,0.00241061273536191
2,-0.00247694551944733,-0.0629195347428322,0.0011241277679801,-0.9980149269104,0.00484094895428506,0.125927387008266,0.00194751836102315,0.00194751836102315
3,-0.00254656840115786,-0.0629271864891052,0.000877484679222107,-0.998014569282532,0.0050123077629429,0.125941614918706,0.00144241262787798,0.00144241262787798
4,-0.0024445322342217,-0.0629136711359024,0.000611975439824164,-0.998015880584717,0.00484070046192603,0.125913098424216,0.000921226355546479,0.000921226355546479
5,-0.00246355123817921,-0.0629745125770569,0.000433730077929795,-0.998012065887451,0.00490157699908625,0.126034169875171,0.000559894754310727,0.000559894754310727
6,-0.00242126570083201,-0.0629628300666809,0.000157402217155322,-0.998012900352478,0.00485157353374088,0.126009407268523,9.35E-06,9.35E-06
7,-0.00239574234001338,-0.062910221517086,-0.000125976628623903,-0.998016357421875,0.00483612799235973,0.125902603873391,-0.000557297970626342,-0.000557297970626342
8,-0.00245167664252222,-0.0628682672977448,-0.000301757478155196,-0.998018860816956,0.00497089341266412,0.125817620117892,-0.000917839766734867,-0.000917839766734867
9,-0.00246184156276286,-0.0627761110663414,-0.000560047803446651,-0.998024463653564,0.00502388686581606,0.125631645921293,-0.00143830863909981,-0.00143830863909981
10,-0.00249200873076916,-0.062668152153492,-0.000772727536968887,-0.998031079769135,0.00511122030936992,0.125414167023789,-0.00186943482226568,-0.00186943482226568
11,-0.00250952295027673,-0.0625629723072052,-0.000959289958700538,-0.998037397861481,0.00516971688070162,0.125202406991099,-0.00224640677976595,-0.00224640677976595
12,-0.00256582908332348,-0.0624208897352219,-0.00120861316099763,-0.998045921325684,0.0053139460468691,0.124916231013388,-0.00275428992722825,-0.00275428992722825
13,-0.00259986030869186,-0.062293779104948,-0.00136591121554375,-0.998053550720215,0.00540171879976214,0.124660574236598,-0.00307427664676935,-0.00307427664676935
14,-0.00257523008622229,-0.0621637888252735,-0.00152992818038911,-0.99806147813797,0.0053722282013684,0.124399285299089,-0.00340038014282654,-0.00340038014282654
15,-0.0027055642567575,-0.0620301142334938,-0.0016727534821257,-0.998069226741791,0.00565171849535957,0.124130167472766,-0.00370320214800009,-0.00370320214800009
16,-0.00267703481949866,-0.0618776828050613,-0.00180336961057037,-0.998078584671021,0.00560993941164407,0.123824086721639,-0.00396144685042205,-0.00396144685042205
17,-0.00250823167152703,-0.0613784156739712,-0.00224663596600294,-0.998108863830566,0.00532288972550612,0.12282198412286,-0.00482907407473117,-0.00482907407473117
18,-0.00238363887183368,-0.0611958168447018,-0.00239938963204622,-0.998120129108429,0.00509011875160877,0.122455912796805,-0.00511985635779048,-0.00511985635779048
19,-0.00222516665235162,-0.0610710345208645,-0.00249746371991932,-0.99812787771225,0.00478273376355605,0.122206226563705,-0.00529689037460276,-0.00529689037460276
20,-0.00214501027949154,-0.0609252005815506,-0.00269322586245835,-0.998136401176453,0.00464468691771311,0.121913539696313,-0.00567997236870344,-0.00567997236870344
21,-0.00189770373981446,-0.0607438497245312,-0.00273174210451543,-0.99814784526825,0.00415088912292844,0.121551411519204,-0.00572619318125087,-0.00572619318125087
22,-0.00187284883577377,-0.0605808719992638,-0.0028984087985009,-0.998157322406769,0.00412022038560989,0.121224313755482,-0.00605754473526046,-0.00605754473526046
23,-0.00166603224352002,-0.0603916235268116,-0.00302309030666947,-0.99816882610321,0.00371822678601311,0.120845909439539,-0.00628219433305305,-0.00628219433305305
24,-0.00146089575719088,-0.0601832270622253,-0.00312964362092316,-0.998181462287903,0.00331721374453484,0.120429288156233,-0.00647065697192103,-0.00647065697192103
25,-0.00135193788446486,-0.0599500015377998,-0.00333110895007849,-0.998194992542267,0.00312082857796363,0.119962075513489,-0.00686165572108201,-0.00686165572108201
26,-0.00119142176117748,-0.059727881103754,-0.00346315419301391,-0.998208045959473,0.00281233308629654,0.119517773378983,-0.00710697680162153,-0.00710697680162153
27,-0.00107746105641127,-0.0594830065965652,-0.00358189013786614,-0.998222291469574,0.00259558234066079,0.119027668861841,-0.00733116304679703,-0.00733116304679703
28,-0.000992677640169859,-0.059208232909441,-0.00370285217650235,-0.998238325119019,0.00243742560066476,0.118477477195262,-0.00756329902035807,-0.00756329902035807
29,-0.000948739529121667,-0.0588422492146492,-0.00391380907967687,-0.998259246349335,0.00237119023690175,0.11774406676942,-0.00798098605527105,-0.00798098605527105
30,-0.000865536043420434,-0.0583841949701309,-0.00407020701095462,-0.998285591602325,0.00221849967566533,0.116826707510285,-0.00828408645197977,-0.00828408645197977
31,-0.000978143885731697,-0.0579334646463394,-0.00417344039306045,-0.998311281204224,0.00245301352911148,0.115922543686668,-0.00850329074499767,-0.00850329074499767
32,-0.000999858137220144,-0.0561711043119431,-0.0048844744451344,-0.998408734798431,0.00256142987418982,0.112390129627113,-0.00992853209689122,-0.00992853209689122
33,-0.00109879102092236,-0.0554746240377426,-0.00493516633287072,-0.998447358608246,0.0027587017848421,0.110993884886536,-0.0100388580599677,-0.0100388580599677
34,-0.00126228667795658,-0.0547694526612759,-0.00502530066296458,-0.998485624790192,0.00308975257310452,0.109579493875243,-0.0102352162972604,-0.0102352162972604
35,-0.00196787202730775,-0.0540432967245579,-0.00564087275415659,-0.998520791530609,0.00456630155119475,0.108114994899704,-0.0115454220799556,-0.0115454220799556
36,-0.00170634186360985,-0.0533037111163139,-0.00555826956406236,-0.998561441898346,0.00402319090693089,0.106637076310256,-0.0113471534341495,-0.0113471534341495
37,-0.0019337844569236,-0.0524231232702732,-0.00560400960966945,-0.998607456684113,0.00447433809759033,0.104870670550263,-0.011458359884054,-0.011458359884054
38,-0.00200478499755263,-0.0513873025774956,-0.00560869555920363,-0.998661041259766,0.00460495763167095,0.102795447687076,-0.0114692061818714,-0.0114692061818714
39,-0.00209724833257496,-0.0504488684237003,-0.00548982247710228,-0.998709440231323,0.00476726549480988,0.100915677934342,-0.0112344731450975,-0.0112344731450975
40,-0.00214285659603775,-0.0493301339447498,-0.00537722697481513,-0.998765826225281,0.00483447778871524,0.0986754980644273,-0.0110063556218403,-0.0110063556218403
41,-0.00235608755610883,-0.0471623800694943,-0.00470016850158572,-0.9988734126091,0.0051732335960266,0.0943362035560884,-0.00965506306711358,-0.00965506306711358
